"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 20:50:58 UTC 2023","Sun Apr 23 20:51:12 UTC 2023","14374","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","sixteen bug - there is big space before the last letter in ""Return to Store"".",""
"passed","Sun Apr 23 20:49:54 UTC 2023","Sun Apr 23 20:50:00 UTC 2023","6038","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","eights bug - Sign In button is misaligned vertically.",""
"passed","Sun Apr 23 20:50:12 UTC 2023","Sun Apr 23 20:50:25 UTC 2023","12896","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","eleventh bug - the page becomes unresponsive when clicking on the Post Comment button.",""
"passed","Sun Apr 23 20:50:34 UTC 2023","Sun Apr 23 20:50:40 UTC 2023","5555","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","thirteens bug - the short description and description of the product are not in English.",""
"passed","Sun Apr 23 20:49:23 UTC 2023","Sun Apr 23 20:49:34 UTC 2023","11482","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","first bug - the product quantity can not be increased past 2",""
"passed","Sun Apr 23 20:49:23 UTC 2023","Sun Apr 23 20:49:37 UTC 2023","14600","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","second bug - the page becomes unresponsive when clicking on the number of results",""
"passed","Sun Apr 23 20:51:35 UTC 2023","Sun Apr 23 20:51:47 UTC 2023","12081","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","seventeens bug - the manufacturer link in the product details page is broken.",""
"passed","Sun Apr 23 20:49:37 UTC 2023","Sun Apr 23 20:49:43 UTC 2023","5402","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","fourth bug- the twitter share button in the product details page is broken.",""
"passed","Sun Apr 23 20:51:30 UTC 2023","Sun Apr 23 20:51:38 UTC 2023","7951","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","nineteens bug - the grand total is $100 more than the sum of all products in the cart.",""
"passed","Sun Apr 23 20:50:55 UTC 2023","Sun Apr 23 20:51:05 UTC 2023","9740","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","twelwes bug - the text under the New User section is not in English.",""
"passed","Sun Apr 23 20:49:48 UTC 2023","Sun Apr 23 20:49:54 UTC 2023","5668","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","seventh bug - Sign In button overlaps the footer.",""
"passed","Sun Apr 23 20:49:34 UTC 2023","Sun Apr 23 20:49:42 UTC 2023","7919","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","third bug - the yellow and orange colors of the product are misspelled.",""
"passed","Sun Apr 23 20:50:40 UTC 2023","Sun Apr 23 20:50:50 UTC 2023","10479","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","fourteens bug - the billing address loads infinitely.",""
"passed","Sun Apr 23 20:51:12 UTC 2023","Sun Apr 23 20:51:30 UTC 2023","18063","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","eighteens bug - the page becomes unresponsive when clicking on the Retrieve Password button.",""
"passed","Sun Apr 23 20:50:50 UTC 2023","Sun Apr 23 20:50:58 UTC 2023","7602","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","fifteens bug - unreadable symbols in shoping cart popup",""
"passed","Sun Apr 23 20:51:38 UTC 2023","Sun Apr 23 20:51:48 UTC 2023","9212","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","twenty bug - the image is not completely displayed.",""
"passed","Sun Apr 23 20:50:00 UTC 2023","Sun Apr 23 20:50:07 UTC 2023","6700","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","ninth bug - the title of the password field is misaligned.",""
"passed","Sun Apr 23 20:50:18 UTC 2023","Sun Apr 23 20:50:34 UTC 2023","16506","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","fifth bug - page crush on change the currency",""
"passed","Sun Apr 23 20:50:07 UTC 2023","Sun Apr 23 20:50:12 UTC 2023","5763","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","tens bug - the My Space share page loads infinitely.",""
"passed","Sun Apr 23 20:51:48 UTC 2023","Sun Apr 23 20:52:02 UTC 2023","14704","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","twenty two bug - the page freezes when increasing the product quantity having green or pink colors chosen.",""
"passed","Sun Apr 23 20:51:47 UTC 2023","Sun Apr 23 20:52:00 UTC 2023","13168","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","twenty one bug - the order history loads infinitely.",""
"passed","Sun Apr 23 20:49:43 UTC 2023","Sun Apr 23 20:49:48 UTC 2023","5581","chromium","findBugs.spec.js","Explore a practice test site that has 25 real bugs planted inside","","","six bug -  the filter by price doesn`t work in the product details or product list pages.",""
